school_id,county,subcounty,ward,school,parasite,positive_cases,total_students_tested,prevalence,lng,lat,prv_ctg
4010111,Meru,Buuri,Kibirichia,Murinya,Hookworm,0,32,0,37.5396963,0.1039491,<2%
4010111,Meru,Buuri,Kibirichia,Murinya,dipstick haematobium,0,31,0,37.5396963,0.1039491,<2%
4010111,Meru,Buuri,Kibirichia,Murinya,S.mansoni,0,32,0,37.5396963,0.1039491,<2%
4010111,Meru,Buuri,Kibirichia,Murinya,Ascaris lumbricoides,0,32,0,37.5396963,0.1039491,<2%
4010111,Meru,Buuri,Kibirichia,Murinya,Taenia solium,0,32,0,37.5396963,0.1039491,<2%
4010111,Meru,Buuri,Kibirichia,Murinya,Taenia saginata,0,32,0,37.5396963,0.1039491,<2%
4010111,Meru,Buuri,Kibirichia,Murinya,trichuris,0,32,0,37.5396963,0.1039491,<2%
4010112,Meru,Buuri,Kibirichia,Mburugiti,S.mansoni,0,32,0,37.523662,0.097325,<2%
4010112,Meru,Buuri,Kibirichia,Mburugiti,Taenia solium,0,32,0,37.523662,0.097325,<2%
4010112,Meru,Buuri,Kibirichia,Mburugiti,Ascaris lumbricoides,0,32,0,37.523662,0.097325,<2%
4010112,Meru,Buuri,Kibirichia,Mburugiti,Taenia saginata,0,32,0,37.523662,0.097325,<2%
4010112,Meru,Buuri,Kibirichia,Mburugiti,Hookworm,0,32,0,37.523662,0.097325,<2%
4010112,Meru,Buuri,Kibirichia,Mburugiti,trichuris,0,32,0,37.523662,0.097325,<2%
4010112,Meru,Buuri,Kibirichia,Mburugiti,dipstick haematobium,0,31,0,37.523662,0.097325,<2%
4010113,Meru,Buuri,Kibirichia,Mck Ntumburi Primary,dipstick haematobium,0,32,0,37.5111566,0.202818,<2%
4010113,Meru,Buuri,Kibirichia,Mck Ntumburi Primary,Hookworm,0,32,0,37.5111566,0.202818,<2%
4010113,Meru,Buuri,Kibirichia,Mck Ntumburi Primary,Taenia solium,0,32,0,37.5111566,0.202818,<2%
4010113,Meru,Buuri,Kibirichia,Mck Ntumburi Primary,S.mansoni,0,32,0,37.5111566,0.202818,<2%
4010113,Meru,Buuri,Kibirichia,Mck Ntumburi Primary,Ascaris lumbricoides,0,32,0,37.5111566,0.202818,<2%
4010113,Meru,Buuri,Kibirichia,Mck Ntumburi Primary,trichuris,0,32,0,37.5111566,0.202818,<2%
4010113,Meru,Buuri,Kibirichia,Mck Ntumburi Primary,Taenia saginata,0,32,0,37.5111566,0.202818,<2%
4010121,Meru,Buuri,Kiirua/Naari,Muruguma,Hookworm,0,29,0,37.569643,0.0903551,<2%
4010121,Meru,Buuri,Kiirua/Naari,Muruguma,Ascaris lumbricoides,0,29,0,37.569643,0.0903551,<2%
4010121,Meru,Buuri,Kiirua/Naari,Muruguma,trichuris,0,29,0,37.569643,0.0903551,<2%
4010121,Meru,Buuri,Kiirua/Naari,Muruguma,Taenia solium,0,29,0,37.569643,0.0903551,<2%
4010121,Meru,Buuri,Kiirua/Naari,Muruguma,dipstick haematobium,0,31,0,37.569643,0.0903551,<2%
4010121,Meru,Buuri,Kiirua/Naari,Muruguma,S.mansoni,0,29,0,37.569643,0.0903551,<2%
4010121,Meru,Buuri,Kiirua/Naari,Muruguma,Taenia saginata,0,29,0,37.569643,0.0903551,<2%
4010122,Meru,Buuri,Kiirua/Naari,Kiringo,Ascaris lumbricoides,0,32,0,37.5935247,0.0722464,<2%
4010122,Meru,Buuri,Kiirua/Naari,Kiringo,dipstick haematobium,1,31,0.032258064516129,37.5935247,0.0722464,2%-<10%
4010122,Meru,Buuri,Kiirua/Naari,Kiringo,Hookworm,0,32,0,37.5935247,0.0722464,<2%
4010122,Meru,Buuri,Kiirua/Naari,Kiringo,S.mansoni,0,32,0,37.5935247,0.0722464,<2%
4010122,Meru,Buuri,Kiirua/Naari,Kiringo,Taenia saginata,0,32,0,37.5935247,0.0722464,<2%
4010122,Meru,Buuri,Kiirua/Naari,Kiringo,Taenia solium,0,32,0,37.5935247,0.0722464,<2%
4010122,Meru,Buuri,Kiirua/Naari,Kiringo,trichuris,0,32,0,37.5935247,0.0722464,<2%
4010123,Meru,Buuri,Kiirua/Naari,Njotene,Taenia saginata,0,32,0,37.5967083,0.1670811,<2%
4010123,Meru,Buuri,Kiirua/Naari,Njotene,Taenia solium,0,32,0,37.5967083,0.1670811,<2%
4010123,Meru,Buuri,Kiirua/Naari,Njotene,trichuris,0,32,0,37.5967083,0.1670811,<2%
4010123,Meru,Buuri,Kiirua/Naari,Njotene,Ascaris lumbricoides,0,32,0,37.5967083,0.1670811,<2%
4010123,Meru,Buuri,Kiirua/Naari,Njotene,S.mansoni,0,32,0,37.5967083,0.1670811,<2%
4010123,Meru,Buuri,Kiirua/Naari,Njotene,dipstick haematobium,0,32,0,37.5967083,0.1670811,<2%
4010123,Meru,Buuri,Kiirua/Naari,Njotene,Hookworm,0,32,0,37.5967083,0.1670811,<2%
4010131,Meru,Buuri,Kisima,Ntirimiti,Ascaris lumbricoides,0,27,0,37.4772943,0.0826317,<2%
4010131,Meru,Buuri,Kisima,Ntirimiti,dipstick haematobium,0,48,0,37.4772943,0.0826317,<2%
4010131,Meru,Buuri,Kisima,Ntirimiti,Taenia saginata,0,27,0,37.4772943,0.0826317,<2%
4010131,Meru,Buuri,Kisima,Ntirimiti,trichuris,0,27,0,37.4772943,0.0826317,<2%
4010131,Meru,Buuri,Kisima,Ntirimiti,S.mansoni,0,27,0,37.4772943,0.0826317,<2%
4010131,Meru,Buuri,Kisima,Ntirimiti,Taenia solium,0,27,0,37.4772943,0.0826317,<2%
4010131,Meru,Buuri,Kisima,Ntirimiti,Hookworm,0,27,0,37.4772943,0.0826317,<2%
4010132,Meru,Buuri,Kisima,Madaraka,S.mansoni,0,32,0,37.3009906,0.0666677,<2%
4010132,Meru,Buuri,Kisima,Madaraka,Taenia saginata,0,32,0,37.3009906,0.0666677,<2%
4010132,Meru,Buuri,Kisima,Madaraka,Taenia solium,0,32,0,37.3009906,0.0666677,<2%
4010132,Meru,Buuri,Kisima,Madaraka,trichuris,0,32,0,37.3009906,0.0666677,<2%
4010132,Meru,Buuri,Kisima,Madaraka,Ascaris lumbricoides,0,32,0,37.3009906,0.0666677,<2%
4010132,Meru,Buuri,Kisima,Madaraka,Hookworm,0,32,0,37.3009906,0.0666677,<2%
4010133,Meru,Buuri,Kisima,Ndurumuru,Hookworm,0,32,0,37.3825311,0.1354345,<2%
4010133,Meru,Buuri,Kisima,Ndurumuru,trichuris,0,32,0,37.3825311,0.1354345,<2%
4010133,Meru,Buuri,Kisima,Ndurumuru,S.mansoni,0,32,0,37.3825311,0.1354345,<2%
4010133,Meru,Buuri,Kisima,Ndurumuru,Taenia solium,0,32,0,37.3825311,0.1354345,<2%
